ExecutionTime: 2018-12-25 15:39:26; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetNull; TotalUserTime: 3.3130s; Message: None
ExecutionTime: 2018-12-25 15:39:31; Path：IsEDP.Login.login_st.LoginTest.test_passwordLong; TotalUserTime: 4.6540s; Message: None
ExecutionTime: 2018-12-25 15:39:34; Path：IsEDP.Login.login_st.LoginTest.test_passwordNull; TotalUserTime: 3.2740s; Message: None
ExecutionTime: 2018-12-25 15:39:39; Path：IsEDP.Login.login_st.LoginTest.test_passwordSpace; TotalUserTime: 4.2970s; Message: None
ExecutionTime: 2018-12-25 15:39:44; Path：IsEDP.Login.login_st.LoginTest.test_passwordSuccessAccount; TotalUserTime: 5.3670s; Message: None
ExecutionTime: 2018-12-25 15:39:56; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 15:39:59; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:13:07; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:13:10; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0060s; Message: None
ExecutionTime: 2018-12-25 17:17:12; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:17:15; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0050s; Message: None
ExecutionTime: 2018-12-25 17:20:04; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 17:20:07; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0060s; Message: None
ExecutionTime: 2018-12-25 17:22:15; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:22:19; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0060s; Message: None
ExecutionTime: 2018-12-25 17:28:31; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 17:28:34; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0050s; Message: None
ExecutionTime: 2018-12-25 17:29:21; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 17:29:25; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 17:32:13; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:34:10; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:41:41; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:42:49; Path：menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:44:16; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryAfter; TotalUserTime: 4.3720s; Message: None
ExecutionTime: 2018-12-25 17:44:20; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryFront; TotalUserTime: 4.3030s; Message: None
ExecutionTime: 2018-12-25 17:44:25; Path：IsEDP.Login.login_st.LoginTest.test_accountError; TotalUserTime: 4.3530s; Message: None
ExecutionTime: 2018-12-25 17:44:30; Path：IsEDP.Login.login_st.LoginTest.test_accountLong; TotalUserTime: 4.8080s; Message: None
ExecutionTime: 2018-12-25 17:44:33; Path：IsEDP.Login.login_st.LoginTest.test_accountNull; TotalUserTime: 3.3450s; Message: None
ExecutionTime: 2018-12-25 17:44:38; Path：IsEDP.Login.login_st.LoginTest.test_accountSpace; TotalUserTime: 4.3110s; Message: None
ExecutionTime: 2018-12-25 17:44:42; Path：IsEDP.Login.login_st.LoginTest.test_accountSymbol; TotalUserTime: 4.3700s; Message: None
ExecutionTime: 2018-12-25 17:44:51; Path：IsEDP.Login.login_st.LoginTest.test_errorPhone; TotalUserTime: 7.9840s; Message: None
ExecutionTime: 2018-12-25 17:44:52; Path：IsEDP.Login.login_st.LoginTest.test_loginLogo; TotalUserTime: 1.5840s; Message: None
ExecutionTime: 2018-12-25 17:44:57; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryAfter; TotalUserTime: 4.8980s; Message: None
