时间: 2018-12-04 14:02:21,561     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
时间: 2018-12-04 14:02:21,561     方法: logging_debug    消息：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:02:42,244     CASES: logging_info    MESSAGE：08080808     
TIME: 2018-12-04 14:03:19,190     DEF: logging_info    MESSAGE：08080808     
TIME: 2018-12-04 14:04:52,388     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F1->BACK_MSG：test_F1     
TIME: 2018-12-04 14:04:53,532     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
TIME: 2018-12-04 14:04:53,532     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
TIME: 2018-12-04 14:04:54,839     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:04:54,839     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:04:54,839     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:04:55,992     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:04:55,992     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:04:55,992     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:04:55,992     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:04:57,476     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:04:57,476     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:04:57,476     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:04:57,476     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:04:57,476     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:04:59,532     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:04:59,532     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:04:59,532     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:04:59,532     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:04:59,532     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:04:59,532     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:05:45,763     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
TIME: 2018-12-04 14:05:45,763     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
TIME: 2018-12-04 14:05:45,763     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
TIME: 2018-12-04 14:05:45,763     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
TIME: 2018-12-04 14:05:45,763     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
TIME: 2018-12-04 14:05:45,763     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
TIME: 2018-12-04 14:05:45,763     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test->BACK_MSG：test     
TIME: 2018-12-04 14:05:46,923     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:05:46,923     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:05:46,923     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:05:46,923     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:05:46,923     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:05:46,923     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:05:46,923     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:05:46,923     DEF: logging_debug    MESSAGE：CLASS_NAME：H->CASE_NAME：test_test1->BACK_MSG：test_test1     
TIME: 2018-12-04 14:07:42,838     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F1->BACK_MSG：test_F1     
TIME: 2018-12-04 14:07:44,108     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
TIME: 2018-12-04 14:07:44,108     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
TIME: 2018-12-04 14:07:45,249     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:07:45,249     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:07:45,249     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:07:46,436     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:07:46,436     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:07:46,436     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:07:46,436     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:07:48,043     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
